['(6.103515625e-05,9.1552734375e-05)', '(0.481048583984375,0.4810791015625)']
['(9.1552734375e-05,0.0001220703125)', '(0.48101806640625,0.481048583984375)']
['(9.1552734375e-05,0.0001220703125)', '(0.481048583984375,0.4810791015625)']
['(0,3.0517578125e-05)', '(0.4810791015625,0.481109619140625)']
['(0,3.0517578125e-05)', '(0.481109619140625,0.48114013671875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4810791015625,0.481109619140625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481109619140625,0.48114013671875)']
['(0,3.0517578125e-05)', '(0.48114013671875,0.481170654296875)']
['(0,3.0517578125e-05)', '(0.481170654296875,0.481201171875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48114013671875,0.481170654296875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481170654296875,0.481201171875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4810791015625,0.481109619140625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481109619140625,0.48114013671875)']
['(9.1552734375e-05,0.0001220703125)', '(0.4810791015625,0.481109619140625)']
['(9.1552734375e-05,0.0001220703125)', '(0.481109619140625,0.48114013671875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48114013671875,0.481170654296875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481170654296875,0.481201171875)']
['(9.1552734375e-05,0.0001220703125)', '(0.48114013671875,0.481170654296875)']
['(9.1552734375e-05,0.0001220703125)', '(0.481170654296875,0.481201171875)']
['(0.0001220703125,0.000152587890625)', '(0.48114013671875,0.481170654296875)']
['(0.0001220703125,0.000152587890625)', '(0.481170654296875,0.481201171875)']
['(0,3.0517578125e-05)', '(0.481201171875,0.481231689453125)']
['(0,3.0517578125e-05)', '(0.481231689453125,0.48126220703125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481201171875,0.481231689453125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481231689453125,0.48126220703125)']
['(0,3.0517578125e-05)', '(0.48126220703125,0.481292724609375)']
['(0,3.0517578125e-05)', '(0.481292724609375,0.4813232421875)']
